An explosion rocked the Royal Marines School of Music in a southeastern coastal town today, causing one building to collapse and killing eight people, officials said.
sent_00 | -       | Thirty people were injured and up to 18 were missing and feared trapped in the rubble.
sent_124 | 0.21531 | The mainly Roman Catholic IRA claim gave no details of the operation, but said it was a response to ...
sent_125 | 0.25626 | It was an apparent reference to her speech praising the locally recruited Ulster Defense Regiment as...
sent_126 | 0.07361 | The mainly Protestant UDR is regarded by many Catholics as a sectarian force, and is at present unde...
sent_127 | 0.24093 | British military installations are a frequent target of the IRA campaign.
sent_128 | 0.22433 | Friday's attack was the worst since July 1982 when 11 servicemen were fatally wounded in two bombing...
sent_129 | 0.07544 | The music school trains young recruits for the seven Royal Marines bands.
sent_130 | 0.22928 | Up to 250 young men, most ages 16 to 20, undergo military and musical training there, working with o...
sent_131 | 0.24369 | Family members on Saturday grieved for their slain loved ones and criticized the security arrangemen...
sent_132 | 0.23267 | Jean Cleatheroe, whose son Andrew was killed, joined local residents and opposition politicians in d...
sent_133 | 0.27074 | ``The security at those barracks was absolutely abysmal.
sent_134 | -       | We had seen it for ourselves.
sent_135 | -       | We have always said how easy it would be for anyone to get in ... What could ordinary security men d...
sent_136 | 0.25233 | she said.
sent_137 | -       | British military installations are a frequent target of the IRA's campaign to end British rule in No...
sent_138 | 0.07556 | Friday's attack was the worst since July 1982, when 11 servicemen were fatally wounded in bombings i...
sent_139 | 0.26044 | Shocked residents of Deal gathered outside the barracks to lay flowers in tribute to the young men t...
sent_140 | 0.21624 | An 11-year-old Royal Marines cadet in full dress uniform marched to the barracks and smartly saluted...
sent_141 | 0.22481 | ``I'm proud of my uniform and I'm proud of all the Marines I knew.
sent_142 | 0.23018 | I hate the people who did this to them,'' said Scott Roberts.
sent_143 | 0.07929 | Archbishop of Canterbury Robert Runcie, spiritual leader of the Church of England, visited the injur...
sent_144 | 0.07282 | Runcie said one of the men's main concerns was that their hands would heal properly so they could co...
sent_145 | 0.24174 | Police investigating the attack were searching a nearby house that had been rented briefly by three ...
sent_146 | 0.20144 | ``We know when the men arrived and when they left,'' Cmdr.
sent_147 | 0.19974 | George Churchill-Coleman, head of Scotland Yard's anti-terrorist squad, said at a news conference.
sent_148 | 0.07377 | ``It appears the men left several days before the explosion.''
sent_149 | 0.1639  | He said the house, which overlooks the barracks recreation center destroyed by the Friday morning bl...
sent_150 | 0.07197 | There was no proof the house was an IRA hideout, the commander said.
sent_151 | 0.07844 | ``By virtue of the fact that the house is very near the base and the men are Irish, we are very anxi...
sent_152 | 0.07202 | Explosives experts wearing white protective overalls were painstakingly examining the house Saturday...
sent_153 | 0.07334 | Police said all 10 men killed during a coffee break between morning band practices were servicemen.
sent_154 | 0.21244 | Of 22 men injured, 12 remained hospitalized Saturday, five in serious condition.
sent_155 | 0.07255 | The Irish Republican Army on Friday claimed responsibility for the explosion, which also severely da...
sent_156 | 0.16277 | Police have not determined what caused the blast, but Churchill-Coleman said, ``It would seem to be ...
sent_157 | 0.21624 | The IRA did not specify how it caused the blast.
sent_158 | -       | Prince Philip on Sunday condemned the ``senseless'' killing of 10 Royal Marines musicians in an IRA ...
sent_159 | 0.19943 | Clergyman urged relatives and friends of dead and maimed musicians to forgive the bombers.
sent_160 | 0.24369 | ``Only forgiveness breaks the tie between the hater and the hated,'' the Rev.
sent_161 | 0.075   | George Lings told mourners.
sent_162 | -       | The prince, husband of Queen Elizabeth II and captain general of the Royal Marines, visited injured ...
sent_163 | 0.07258 | ``It will not help the IRA win anything,'' said Philip, who wore a Royal Marines tie.
sent_164 | 0.24369 | ``It is senseless.
sent_165 | -       | One simply wonders what sort of mentality can even contemplate such meaningless acts.
sent_166 | 0.16168 | It is appalling.''
sent_167 | -       | He paid tribute to the 12 injured men, five of whom were critically wounded.
sent_168 | 0.07285 | The prince was accompanied by Viscountess Mountbatten, daughter of Lord Mountbatten, who was killed ...
sent_169 | 0.07844 | Mountbatten was India's last viceroy and a cousin of the queen.
sent_170 | 0.19974 | British military installations are a frequent target of the Irish Republican Army in its campaign to...
sent_171 | 0.06865 | Defense Secretary Tom King said Sunday he has issued an alert to all military installations to preve...
sent_172 | 0.26706 | He would not give details.
sent_173 | -       | ``The perpetrators of the latest outrage are at large and there is a risk of other attacks,'' King s...
sent_174 | 0.07544 | ``That is why we are taking a number of other steps.''
sent_175 | -       | King defended the use of private security firms hired to guard the Deal school and 29 other ``low-ri...
sent_176 | 0.07275 | Local residents and grieving relatives have said security was lax and should be turned back to the m...
sent_177 | 0.24002 | King said the private firms will remain.
sent_178 | 0.07164 | ``It is important to remember that what we need in these cases are eyes and ears and observation,'' ...
sent_179 | 0.06808 | ``Private security guards can be a very useful additional assistance.
sent_180 | 0.21856 | They also help to reduce the amount of time soldiers have to spend on what is not the most enjoyable...
sent_181 | 0.07672 | At church services throughout the small port, clergymen urged mourners to pray for and forgive the b...
sent_182 | 0.07537 | The Rev.
sent_183 | -       | Charles Howard, a Royal Navy chaplain, asked the 300-member congregation inside the barracks, ``if y...
sent_184 | 0.07344 | Many cried as Howard read aloud the names of the 10 servicemen killed during a coffee break between ...
sent_185 | 0.22791 | It was the worst IRA attack on the British mainland since July 1982.
sent_186 | 0.07525 | At nearby St. George's Church, formerly the Royal Marines' church, Lings said, ``no one says forgive...
sent_187 | 0.07643 | ``But ... forgive them, they not what they do.''
sent_188 | -       | Prime Minister Margaret Thatcher said Monday the Irish Republican Army members who blew up the Royal...
sent_189 | 0.24838 | ``The young men whom we lost were murdered by common murderers who must be found and brought to just...
sent_190 | 0.27285 | ``We lost 10 remarkable musicians, not fighting men, just because some people try to bomb others out...
sent_191 | 0.07566 | ``They are very evil people, absolute monsters.''
sent_192 | -       | Gerry Adams, president of Sinn Fein, the legal political arm of the IRA, issued a statement disputin...
sent_193 | 0.07452 | The IRA is fighting to end British rule in Northern Ireland and unite the predominantly Protestant p...
sent_194 | 0.21661 | ``We want an end to all violent deaths arising out of the present relationship between our two count...
sent_195 | 0.24002 | ``We want a new peaceful relationship based on an acceptance and respect for our rights as a soverei...
sent_196 | 0.19296 | After visiting some of the 11 injured bandsmen still in the hospital, Mrs. Thatcher pledged: ``The h...
sent_197 | 0.07317 | Raymond Kendall, the secretary-general of the international police organization Interpol, pledged th...
sent_198 | 0.0778  | ``I hope we will have a part to play in finding them,'' said Kendall after opening the International...
sent_199 | 0.22285 | ``They are criminals of the worst sort and should be dealt with as such.''
sent_200 | -       | Before landing in Deal, Mrs. Thatcher's helicopter flew over the rubble that had been the band's rec...
sent_201 | 0.19892 | The IRA claimed responsibility for the explosion, and police said they are looking for three men wit...
sent_202 | 0.07665 | 
